repo_id,owner,name,full_name,language,created_at,updated_at,stars,forks,open_issues,archived,age_days,html_url,star_band
640823067,DataDog,KubeHound,DataDog/KubeHound,Go,2023-05-15T07:48:42Z,2026-09-04T11:56:53Z,996,67,30,False,1209,https://github.com/DataDog/KubeHound,101-1K
65123426,huydx,hget,huydx/hget,Go,2016-08-07T08:27:03Z,2026-09-05T14:43:36Z,995,69,28,False,3681,https://github.com/huydx/hget,101-1K
30088118,mat,besticon,mat/besticon,Go,2015-01-30T19:50:12Z,2026-09-04T18:03:07Z,995,170,9,False,4235,https://github.com/mat/besticon,101-1K
324299224,netxfly,sec-dev-in-action-src,netxfly/sec-dev-in-action-src,Go,2020-12-25T06:06:16Z,2026-09-01T14:25:42Z,992,185,2,False,2080,https://github.com/netxfly/sec-dev-in-action-src,101-1K
14361608,michaelsauter,crane,michaelsauter/crane,Go,2013-11-13T10:58:54Z,2026-09-01T14:26:14Z,991,61,14,False,4679,https://github.com/michaelsauter/crane,101-1K
364269021,sylabs,singularity,sylabs/singularity,Go,2021-05-04T13:40:42Z,2026-09-05T15:15:27Z,991,119,40,False,1950,https://github.com/sylabs/singularity,101-1K
216841474,phodal,coca,phodal/coca,Go,2019-10-22T15:00:51Z,2026-09-01T14:27:30Z,990,118,0,False,2510,https://github.com/phodal/coca,101-1K
16752620,gogs,gogs,gogs/gogs,Go,2014-02-12T01:57:08Z,2026-09-05T10:43:30Z,47807,5073,1010,False,4588,https://github.com/gogs/gogs,10K-50K
717197250,QuantumNous,new-api,QuantumNous/new-api,Go,2023-11-10T19:33:36Z,2026-09-05T16:29:02Z,47364,11302,1346,False,1029,https://github.com/QuantumNous/new-api,10K-50K
41912791,v2ray,v2ray-core,v2ray/v2ray-core,Go,2015-09-04T11:42:53Z,2026-09-05T14:44:06Z,46934,8806,16,False,4019,https://github.com/v2ray/v2ray-core,10K-50K
12574344,spf13,cobra,spf13/cobra,Go,2013-09-03T20:40:26Z,2026-09-05T13:59:40Z,44571,3229,439,False,4749,https://github.com/spf13/cobra,10K-50K
738733003,danielmiessler,Fabric,danielmiessler/Fabric,Go,2024-01-03T23:18:31Z,2026-09-05T16:11:25Z,43832,4254,68,False,975,https://github.com/danielmiessler/Fabric,10K-50K
107286889,schollz,croc,schollz/croc,Go,2017-10-17T15:20:18Z,2026-09-05T15:40:38Z,40242,1614,1,False,3245,https://github.com/schollz/croc,10K-50K
119160553,photoprism,photoprism,photoprism/photoprism,Go,2018-01-27T12:00:15Z,2026-09-05T16:18:10Z,40146,2322,467,False,3143,https://github.com/photoprism/photoprism,10K-50K
13855476,go-gorm,gorm,go-gorm/gorm,Go,2013-10-25T08:31:38Z,2026-09-05T01:51:51Z,39942,4180,524,False,4698,https://github.com/go-gorm/gorm,10K-50K
16607898,harness,harness,harness/harness,Go,2014-02-07T07:54:44Z,2026-09-05T14:48:38Z,38242,3381,106,False,4593,https://github.com/harness/harness,10K-50K
792861139,glanceapp,glance,glanceapp/glance,Go,2024-04-27T18:55:38Z,2026-09-05T16:01:55Z,36860,1445,312,False,860,https://github.com/glanceapp/glance,10K-50K
182353393,gcla,termshark,gcla/termshark,Go,2019-04-20T03:08:13Z,2026-09-05T16:16:49Z,9995,439,51,False,2695,https://github.com/gcla/termshark,1K-10K
4022652,gomodule,redigo,gomodule/redigo,Go,2012-04-14T04:31:58Z,2026-09-04T01:42:30Z,9854,1232,25,False,5257,https://github.com/gomodule/redigo,1K-10K
53171300,tidwall,tile38,tidwall/tile38,Go,2016-03-04T23:07:44Z,2026-09-05T14:44:05Z,9723,623,163,False,3836,https://github.com/tidwall/tile38,1K-10K
94593596,etcd-io,bbolt,etcd-io/bbolt,Go,2017-06-17T01:42:09Z,2026-09-04T17:47:23Z,9719,749,32,False,3367,https://github.com/etcd-io/bbolt,1K-10K
603535454,tmc,langchaingo,tmc/langchaingo,Go,2023-02-18T20:04:54Z,2026-09-05T05:18:06Z,9668,1145,412,False,1294,https://github.com/tmc/langchaingo,1K-10K
111364256,miniflux,v2,miniflux/v2,Go,2017-11-20T05:07:17Z,2026-09-05T14:55:03Z,9657,926,282,False,3211,https://github.com/miniflux/v2,1K-10K
21591001,cloudflare,cfssl,cloudflare/cfssl,Go,2014-07-07T23:49:12Z,2026-09-04T15:56:04Z,9467,1148,338,False,4442,https://github.com/cloudflare/cfssl,1K-10K
342728683,replicate,cog,replicate/cog,Go,2021-02-26T23:43:09Z,2026-09-05T00:40:23Z,9467,697,74,False,2016,https://github.com/replicate/cog,1K-10K
280658081,v2fly,domain-list-community,v2fly/domain-list-community,Go,2020-07-18T13:05:41Z,2026-09-05T15:24:02Z,9443,1416,116,False,2240,https://github.com/v2fly/domain-list-community,1K-10K
