repo_id,full_name,language,month,contributors,new_contributors,returning_contributors
11730342,vuejs/vue,TypeScript,2024-01,1,0,1
11730342,vuejs/vue,TypeScript,2024-02,0,0,0
11730342,vuejs/vue,TypeScript,2024-03,0,0,0
11730342,vuejs/vue,TypeScript,2024-04,0,0,0
11730342,vuejs/vue,TypeScript,2024-05,1,1,0
11730342,vuejs/vue,TypeScript,2024-06,1,1,0
11730342,vuejs/vue,TypeScript,2024-07,0,0,0
11730342,vuejs/vue,TypeScript,2024-08,0,0,0
11730342,vuejs/vue,TypeScript,2024-09,0,0,0
11730342,vuejs/vue,TypeScript,2024-10,1,1,0
11730342,vuejs/vue,TypeScript,2024-11,0,0,0
11730342,vuejs/vue,TypeScript,2024-12,0,0,0
11730342,vuejs/vue,TypeScript,2025-01,0,0,0
11730342,vuejs/vue,TypeScript,2025-02,0,0,0
11730342,vuejs/vue,TypeScript,2025-03,0,0,0
11730342,vuejs/vue,TypeScript,2025-04,0,0,0
11730342,vuejs/vue,TypeScript,2025-05,0,0,0
11730342,vuejs/vue,TypeScript,2025-06,0,0,0
11730342,vuejs/vue,TypeScript,2025-07,0,0,0
11730342,vuejs/vue,TypeScript,2025-08,0,0,0
11730342,vuejs/vue,TypeScript,2025-09,0,0,0
11730342,vuejs/vue,TypeScript,2025-10,0,0,0
11730342,vuejs/vue,TypeScript,2025-11,0,0,0
11730342,vuejs/vue,TypeScript,2025-12,0,0,0
11730342,vuejs/vue,TypeScript,2026-01,0,0,0
11730342,vuejs/vue,TypeScript,2026-02,0,0,0
11730342,vuejs/vue,TypeScript,2026-03,0,0,0
11730342,vuejs/vue,TypeScript,2026-04,0,0,0
11730342,vuejs/vue,TypeScript,2026-05,0,0,0
11730342,vuejs/vue,TypeScript,2026-06,0,0,0
11730342,vuejs/vue,TypeScript,2026-07,0,0,0
11730342,vuejs/vue,TypeScript,2026-08,0,0,0
11730342,vuejs/vue,TypeScript,2026-09,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-03,1,1,0
178597005,FyroxEngine/Fyrox,Rust,2019-04,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-05,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-06,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2019-07,2,1,1
178597005,FyroxEngine/Fyrox,Rust,2019-08,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2019-09,2,1,1
178597005,FyroxEngine/Fyrox,Rust,2019-10,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2019-11,2,1,1
178597005,FyroxEngine/Fyrox,Rust,2019-12,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2020-01,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2020-02,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2020-03,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2020-04,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2020-05,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2020-06,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2020-07,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2020-08,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2020-09,8,6,2
178597005,FyroxEngine/Fyrox,Rust,2020-10,5,1,4
178597005,FyroxEngine/Fyrox,Rust,2020-11,5,1,4
178597005,FyroxEngine/Fyrox,Rust,2020-12,5,1,4
178597005,FyroxEngine/Fyrox,Rust,2021-01,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2021-02,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2021-03,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2021-04,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2021-05,6,3,3
178597005,FyroxEngine/Fyrox,Rust,2021-06,6,4,2
178597005,FyroxEngine/Fyrox,Rust,2021-07,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2021-08,6,4,2
178597005,FyroxEngine/Fyrox,Rust,2021-09,8,4,4
178597005,FyroxEngine/Fyrox,Rust,2021-10,7,2,5
178597005,FyroxEngine/Fyrox,Rust,2021-11,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2021-12,5,2,3
178597005,FyroxEngine/Fyrox,Rust,2022-01,5,2,3
178597005,FyroxEngine/Fyrox,Rust,2022-02,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2022-03,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2022-04,6,1,5
178597005,FyroxEngine/Fyrox,Rust,2022-05,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2022-06,2,1,1
178597005,FyroxEngine/Fyrox,Rust,2022-07,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2022-08,4,0,4
178597005,FyroxEngine/Fyrox,Rust,2022-09,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2022-10,6,3,3
178597005,FyroxEngine/Fyrox,Rust,2022-11,5,3,2
178597005,FyroxEngine/Fyrox,Rust,2022-12,6,2,4
178597005,FyroxEngine/Fyrox,Rust,2023-01,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2023-02,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2023-03,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2023-04,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2023-05,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2023-06,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2023-07,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2023-08,5,2,3
178597005,FyroxEngine/Fyrox,Rust,2023-09,5,2,3
178597005,FyroxEngine/Fyrox,Rust,2023-10,6,3,3
178597005,FyroxEngine/Fyrox,Rust,2023-11,7,2,5
178597005,FyroxEngine/Fyrox,Rust,2023-12,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2024-01,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2024-02,9,8,1
178597005,FyroxEngine/Fyrox,Rust,2024-03,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2024-04,6,5,1
178597005,FyroxEngine/Fyrox,Rust,2024-05,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2024-06,7,3,4
178597005,FyroxEngine/Fyrox,Rust,2024-07,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2024-08,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2024-09,1,0,1
178597005,FyroxEngine/Fyrox,Rust,2024-10,8,5,3
178597005,FyroxEngine/Fyrox,Rust,2024-11,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2024-12,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2025-01,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2025-02,9,5,4
178597005,FyroxEngine/Fyrox,Rust,2025-03,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2025-04,7,3,4
178597005,FyroxEngine/Fyrox,Rust,2025-05,6,0,6
178597005,FyroxEngine/Fyrox,Rust,2025-06,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2025-07,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2025-08,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2025-09,7,2,5
178597005,FyroxEngine/Fyrox,Rust,2025-10,6,1,5
178597005,FyroxEngine/Fyrox,Rust,2025-11,4,0,4
178597005,FyroxEngine/Fyrox,Rust,2025-12,3,0,3
178597005,FyroxEngine/Fyrox,Rust,2026-01,4,0,4
178597005,FyroxEngine/Fyrox,Rust,2026-02,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2026-03,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2026-04,4,2,2
178597005,FyroxEngine/Fyrox,Rust,2026-05,4,1,3
178597005,FyroxEngine/Fyrox,Rust,2026-06,2,0,2
178597005,FyroxEngine/Fyrox,Rust,2026-07,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2026-08,3,1,2
178597005,FyroxEngine/Fyrox,Rust,2026-09,1,0,1
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-02,2,2,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-03,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-04,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-05,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-06,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-07,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-08,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-09,0,0,0
