repo_id,full_name,language,month,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed
11730342,vuejs/vue,TypeScript,2021-04,26,36,16,30,36
11730342,vuejs/vue,TypeScript,2021-05,17,8,2,32,31
11730342,vuejs/vue,TypeScript,2021-06,11,13,6,48,51
11730342,vuejs/vue,TypeScript,2021-07,14,10,2,26,27
11730342,vuejs/vue,TypeScript,2021-08,17,14,5,30,38
11730342,vuejs/vue,TypeScript,2021-09,21,18,7,33,30
11730342,vuejs/vue,TypeScript,2021-10,18,12,3,18,18
11730342,vuejs/vue,TypeScript,2021-11,12,11,8,15,16
11730342,vuejs/vue,TypeScript,2021-12,10,5,1,26,26
11730342,vuejs/vue,TypeScript,2022-01,14,9,3,30,28
11730342,vuejs/vue,TypeScript,2022-02,21,16,3,12,10
11730342,vuejs/vue,TypeScript,2022-03,12,8,0,14,12
11730342,vuejs/vue,TypeScript,2022-04,12,8,0,8,7
11730342,vuejs/vue,TypeScript,2022-05,6,20,0,9,11
11730342,vuejs/vue,TypeScript,2022-06,21,16,3,21,20
11730342,vuejs/vue,TypeScript,2022-07,35,37,16,94,80
11730342,vuejs/vue,TypeScript,2022-08,26,23,10,26,34
11730342,vuejs/vue,TypeScript,2022-09,18,10,0,18,6
11730342,vuejs/vue,TypeScript,2022-10,24,24,8,24,22
11730342,vuejs/vue,TypeScript,2022-11,23,15,4,7,12
11730342,vuejs/vue,TypeScript,2022-12,14,14,4,13,7
11730342,vuejs/vue,TypeScript,2023-01,18,13,1,12,3
11730342,vuejs/vue,TypeScript,2023-02,14,10,1,11,6
11730342,vuejs/vue,TypeScript,2023-03,13,7,0,11,4
11730342,vuejs/vue,TypeScript,2023-04,8,8,1,8,7
11730342,vuejs/vue,TypeScript,2023-05,6,5,0,2,1
11730342,vuejs/vue,TypeScript,2023-06,9,9,0,9,5
11730342,vuejs/vue,TypeScript,2023-07,9,7,0,9,6
11730342,vuejs/vue,TypeScript,2023-08,11,13,0,5,4
11730342,vuejs/vue,TypeScript,2023-09,7,7,0,9,5
11730342,vuejs/vue,TypeScript,2023-10,11,17,8,4,6
11730342,vuejs/vue,TypeScript,2023-11,11,9,0,5,4
11730342,vuejs/vue,TypeScript,2023-12,12,24,6,6,32
11730342,vuejs/vue,TypeScript,2024-01,21,19,0,0,0
11730342,vuejs/vue,TypeScript,2024-02,7,10,0,2,2
11730342,vuejs/vue,TypeScript,2024-03,4,6,0,2,2
11730342,vuejs/vue,TypeScript,2024-04,3,4,0,0,0
11730342,vuejs/vue,TypeScript,2024-05,8,8,1,0,0
11730342,vuejs/vue,TypeScript,2024-06,7,7,1,0,0
11730342,vuejs/vue,TypeScript,2024-07,4,3,0,0,1
11730342,vuejs/vue,TypeScript,2024-08,8,9,0,2,3
11730342,vuejs/vue,TypeScript,2024-09,2,2,0,1,0
11730342,vuejs/vue,TypeScript,2024-10,9,8,1,0,1
11730342,vuejs/vue,TypeScript,2024-11,3,3,0,0,1
11730342,vuejs/vue,TypeScript,2024-12,0,2,0,0,0
11730342,vuejs/vue,TypeScript,2025-01,5,3,0,0,0
11730342,vuejs/vue,TypeScript,2025-02,3,4,0,5,2
11730342,vuejs/vue,TypeScript,2025-03,2,3,0,4,4
11730342,vuejs/vue,TypeScript,2025-04,3,2,0,0,1
11730342,vuejs/vue,TypeScript,2025-05,5,6,0,0,1
11730342,vuejs/vue,TypeScript,2025-06,3,3,0,0,0
11730342,vuejs/vue,TypeScript,2025-07,9,9,0,1,1
11730342,vuejs/vue,TypeScript,2025-08,5,1,0,0,0
11730342,vuejs/vue,TypeScript,2025-09,4,1,0,0,0
11730342,vuejs/vue,TypeScript,2025-10,4,3,0,0,0
11730342,vuejs/vue,TypeScript,2025-11,5,0,0,1,0
11730342,vuejs/vue,TypeScript,2025-12,2,4,0,0,0
11730342,vuejs/vue,TypeScript,2026-01,6,3,0,0,0
11730342,vuejs/vue,TypeScript,2026-02,7,4,0,3,0
11730342,vuejs/vue,TypeScript,2026-03,3,4,0,1,1
11730342,vuejs/vue,TypeScript,2026-04,8,9,0,0,0
11730342,vuejs/vue,TypeScript,2026-05,7,5,0,1,1
11730342,vuejs/vue,TypeScript,2026-06,11,4,0,5,0
11730342,vuejs/vue,TypeScript,2026-07,3,1,0,0,0
11730342,vuejs/vue,TypeScript,2026-08,1,1,0,0,0
11730342,vuejs/vue,TypeScript,2026-09,1,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-03,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-04,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-05,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-06,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-07,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-08,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-09,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-10,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-11,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2019-12,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2020-01,0,0,0,1,0
178597005,FyroxEngine/Fyrox,Rust,2020-02,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2020-03,0,0,0,14,6
178597005,FyroxEngine/Fyrox,Rust,2020-04,1,0,0,7,2
178597005,FyroxEngine/Fyrox,Rust,2020-05,0,0,0,1,0
178597005,FyroxEngine/Fyrox,Rust,2020-06,0,0,0,1,0
178597005,FyroxEngine/Fyrox,Rust,2020-07,0,1,0,1,3
178597005,FyroxEngine/Fyrox,Rust,2020-08,0,0,0,0,0
178597005,FyroxEngine/Fyrox,Rust,2020-09,6,5,5,2,0
178597005,FyroxEngine/Fyrox,Rust,2020-10,3,2,2,10,12
178597005,FyroxEngine/Fyrox,Rust,2020-11,7,8,7,10,9
178597005,FyroxEngine/Fyrox,Rust,2020-12,2,1,1,2,3
178597005,FyroxEngine/Fyrox,Rust,2021-01,0,1,1,1,1
178597005,FyroxEngine/Fyrox,Rust,2021-02,1,1,1,2,0
178597005,FyroxEngine/Fyrox,Rust,2021-03,6,6,6,14,7
178597005,FyroxEngine/Fyrox,Rust,2021-04,2,1,1,3,2
178597005,FyroxEngine/Fyrox,Rust,2021-05,6,7,6,14,5
178597005,FyroxEngine/Fyrox,Rust,2021-06,2,2,2,14,13
178597005,FyroxEngine/Fyrox,Rust,2021-07,3,3,3,7,9
178597005,FyroxEngine/Fyrox,Rust,2021-08,6,5,5,20,10
178597005,FyroxEngine/Fyrox,Rust,2021-09,12,12,11,7,8
178597005,FyroxEngine/Fyrox,Rust,2021-10,11,11,11,16,16
178597005,FyroxEngine/Fyrox,Rust,2021-11,14,14,14,17,8
178597005,FyroxEngine/Fyrox,Rust,2021-12,11,10,9,6,3
178597005,FyroxEngine/Fyrox,Rust,2022-01,8,8,7,10,11
178597005,FyroxEngine/Fyrox,Rust,2022-02,6,5,5,9,7
